PLAYER,TEAM,AGE,HEIGHT_EXCEL_ERROR,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT_unformatted,HEIGHT
TyTy Washington Jr.,MIL,22,3-Jun,195,Kentucky,USA,2022,1,29,2,1.5,0.5,0,17,0,20,35.7,50,0,6-3,75
Tyler Herro,MIA,23,5-Jun,195,Kentucky,USA,2019,1,13,8,22.9,5,4.6,-1.3,1.1,13.9,28.1,56.1,22,6-5,77
Tyrese Haliburton,IND,23,5-Jun,185,Iowa State,USA,2020,1,12,22,24.9,4,11.9,1.3,2,10.1,25.4,64.8,46.9,6-5,77
Tyrese Maxey,PHI,23,2-Jun,200,Kentucky,USA,2020,1,21,25,25.8,4,6.7,13.8,1.7,8.7,25.4,59.7,26.5,6-2,74
Tyus Jones,WAS,27,1-Jun,196,Duke,USA,2015,1,24,25,11.6,3.1,5.3,-13.8,0.8,10,15.8,59.3,25.4,6-1,73
Udoka Azubuike,PHX,24,11-Jun,270,Kansas,Nigeria,2020,1,27,2,1,2,0,-45,0,40,4.8,100,0,6-11,83
Vasilije Micic,OKC,29,3-Jun,188,None,Serbia,2014,2,52,9,3.2,0.6,3,16.8,0,4.3,16,45.8,28.7,6-3,75
Victor Wembanyama,SAS,19,4-Jul,210,None,France,2023,1,1,24,19,11,2.7,-9.4,7.4,27.3,28.3,52.3,14.1,7-4,88
Vince Williams Jr.,MEM,23,4-Jun,205,Virginia Commonwealth,USA,2022,2,47,16,5.6,4.1,1.3,5.8,3.7,19,11.9,65.3,9.6,6-4,76
Walker Kessler,UTA,22,Jul-00,245,Auburn,USA,2022,1,22,18,8.6,8.1,1,-11.7,11.6,18.7,14.4,57.7,6.3,7-1,85
Wendell Carter Jr.,ORL,24,10-Jun,270,Duke,USA,2018,1,7,5,9.4,8.6,1.6,-1.3,6.7,22.2,16.8,45.9,8.3,6-10,82
Wendell Moore Jr.,MIN,22,5-Jun,215,Duke,USA,2022,1,26,5,0,0.2,0.2,-26.1,0,6.7,6.7,0,10,6-5,77
Wesley Matthews,ATL,37,5-Jun,220,Marquette,USA,Undrafted,Undrafted,Undrafted,14,2.6,1.4,0.7,-8.7,2,9.3,11,44.6,7.8,6-5,77
Xavier Moon,LAC,28,Jun-00,165,Morehead State,USA,Undrafted,Undrafted,Undrafted,2,1,1,1.5,-60.6,0,18.2,11.1,50,42.9,6-1,73
Xavier Tillman,MEM,24,7-Jun,245,Michigan State,USA,2020,2,35,12,7.1,4.3,1.7,-9.2,6.2,14.4,17.6,45.6,12.4,6-7,79
Yuta Watanabe,PHX,29,9-Jun,215,George Washington,Japan,Undrafted,Undrafted,Undrafted,19,4.6,2.1,0.5,-1.2,2.9,8.1,12.7,51.3,4,6-9,81
Zach Collins,SAS,26,11-Jun,250,Gonzaga,USA,2017,1,10,25,12.7,6,3.4,-9.8,7.3,14.6,21.3,57,19.1,6-11,83
Zach LaVine,CHI,28,5-Jun,200,UCLA,USA,2014,1,13,18,21,4.9,3.4,-7.7,0.9,13,25.4,56.6,15.6,6-5,77
Zeke Nnaji,DEN,22,9-Jun,240,Arizona,USA,2020,1,22,21,3.7,2.4,0.5,-14.5,11.3,10.4,15,57.6,7,6-9,81
Ziaire Williams,MEM,22,9-Jun,185,Stanford,USA,2021,1,10,22,7.4,4,1.3,-14.5,2.7,16.3,17.6,50,10.8,6-9,81
Zion Williamson,NOP,23,6-Jun,284,Duke,USA,2019,1,1,22,22.5,5.9,4.6,1.4,6.6,11.8,27.5,,,6-6,78
