PLAYER,TEAM,AGE,HEIGHT_EXCEL_ERROR,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT_unformatted,HEIGHT
Miles McBride,NYK,23,1-Jun,195,West Virginia,USA,2021,2,36,16,2.1,0.3,0.5,-12.1,1.2,4.1,14.3,65.7,15.4,6-1,73
Mitchell Robinson,NYK,25,Jul-00,240,Western Kentucky,USA,2018,2,36,21,6.2,10.3,0.7,2.9,16.9,17.9,9.3,56.7,3.3,7-1,85
Mo Bamba,PHI,25,Jul-00,231,Texas,USA,2018,1,6,14,3.8,2.5,0.3,8.9,17,21.7,20.9,63.3,6.6,7-1,85
Moritz Wagner,ORL,26,11-Jun,245,Michigan,Germany,2018,1,25,25,11.6,4,1.1,-0.1,7.3,13.7,22,68.3,9.7,6-11,83
Moses Brown,POR,24,2-Jul,258,UCLA,USA,Undrafted,Undrafted,Undrafted,5,2.4,3.6,0.2,-13.5,20.5,29.4,16.9,46.6,5.6,7-2,86
Moses Moody,GSW,21,5-Jun,211,Arkansas,USA,2021,1,14,26,8.4,3.5,1,-1,6.4,11.3,16.7,59.1,8,6-5,77
Mouhamed Gueye,ATL,21,10-Jun,210,Washington State,Senegal,2023,2,39,2,0,0,0,-117.3,0,0,8.3,0,0,6-10,82
Moussa Diabate,LAC,21,9-Jun,210,Michigan,France,2022,2,43,9,3,2.1,0.4,-1.1,23.3,8.3,18.3,58,10.5,6-9,81
Myles Turner,IND,27,11-Jun,250,Texas,USA,2015,1,11,24,16.9,7.8,1.3,2.9,7,21.7,23.1,60,5.9,6-11,83
Naji Marshall,NOP,25,6-Jun,220,Xavier,USA,Undrafted,Undrafted,Undrafted,18,8.6,4.3,2.5,7.8,5.5,15.1,16.5,62.4,16.6,6-6,78
Nassir Little,PHX,23,6-Jun,220,North Carolina,USA,2019,1,25,19,5.4,2.7,0.8,-5.4,4.7,11.7,12.5,62.8,7.8,6-6,78
Nate Hinton,HOU,24,5-Jun,210,Houston,USA,Undrafted,Undrafted,Undrafted,4,2.3,0.8,0,5.2,6.3,10.5,15.4,75,0,6-5,77
Nate Williams,HOU,24,5-Jun,205,Buffalo,USA,Undrafted,Undrafted,Undrafted,4,3.3,0,0.5,0.1,0,0,21.8,54.7,13.3,6-5,77
