PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
OG Anunoby,TOR,67,0.7,4.2,0.78,0.5,0.2,0.5,33.3,41.7,6.5,15.2,6.5,0,32.6,17.6
Luke Kennard,LAC,35,1.4,19.4,0.75,1,0.4,1.1,32.5,41.3,4.2,14.6,4.2,2.1,29.2,15.1
Malaki Branham,SAS,66,0.5,4.6,1.06,0.5,0.2,0.5,45.2,56.5,0,6.1,0,0,42.4,69.5
Jaden Hardy,DAL,48,0.5,5.8,1.42,0.7,0.3,0.4,66.7,78.6,4.2,8.3,0,0,62.5,97.4
Kevin Durant,PHX,8,3.5,16.7,1.21,4.3,1.6,2.8,59.1,63.6,10.7,10.7,7.1,0,57.1,86.2
Nassir Little,POR,54,0.5,7.8,1.21,0.6,0.2,0.5,50,61.5,3.6,3.6,3.6,0,50,86.2
LeBron James,LAL,55,0.5,2,1.13,0.6,0.2,0.5,42.3,55.8,6.7,6.7,6.7,0,43.3,77.9
Lonnie Walker IV,LAL,56,0.7,6,0.92,0.6,0.2,0.5,40,46.7,8.1,10.8,8.1,0,40.5,37.9
Luke Kennard,MEM,24,1.1,13.3,1.27,1.4,0.5,1,44,66,0,3.8,0,0,42.3,92.5
Jaden McDaniels,MIN,79,0.4,3.4,1.1,0.4,0.2,0.3,54.2,66.7,3.3,20,3.3,3.3,43.3,74.3
Jaren Jackson Jr.,MEM,63,0.6,3.7,0.85,0.5,0.2,0.5,38.7,45.2,15.4,10.3,15.4,5.1,41,23.3
Lindy Waters III,OKC,42,0.5,10.3,1.6,0.8,0.3,0.5,57.9,84.2,0,5,0,0,55,99.6
D'Angelo Russell,MIN,54,0.8,4.3,0.78,0.6,0.2,0.7,30.6,36.1,7.3,4.9,7.3,0,34.1,17.2
Damion Lee,PHX,74,0.6,7.3,0.76,0.4,0.1,0.5,28.6,34.3,9.5,7.1,4.8,0,33.3,16.7
Patty Mills,BKN,40,0.6,10,1.24,0.8,0.3,0.6,50,68.2,4,8,0,0,48,89
Chris Duarte,IND,46,0.7,7.4,1.03,0.7,0.2,0.5,41.7,58.3,6.7,13.3,6.7,0,40,66.5
Duncan Robinson,MIA,42,0.9,13.4,0.84,0.7,0.2,0.8,30.3,37.9,8.1,2.7,8.1,0,35.1,22.9
Jimmy Butler,MIA,64,0.3,1.7,1.43,0.5,0.1,0.2,60,66.7,28.6,4.8,28.6,4.8,66.7,97.8
Landry Shamet,PHX,40,0.9,9.5,0.85,0.7,0.3,0.8,30.3,43.9,2.9,2.9,2.9,2.9,29.4,26
Devin Vassell,SAS,39,1,5.6,0.72,0.7,0.3,0.9,31.4,35.7,5.1,5.1,5.1,0,33.3,12.3
Malcolm Brogdon,BOS,67,0.2,1.6,1.8,0.4,0.1,0.2,71.4,89.3,6.7,0,6.7,0,73.3,100
Davis Bertans,DAL,45,0.5,12.1,1.29,0.6,0.2,0.4,44.4,66.7,4.8,9.5,4.8,0,42.9,93.4
Tre Mann,OKC,67,0.4,5.2,0.87,0.4,0.2,0.4,44,52,0,16.7,0,0,36.7,27.4
