PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Malcolm Brogdon,POR,15,1.9,10.7,1.21,2.3,0.9,1.5,56.5,56.5,20.7,6.9,13.8,6.9,58.6,87.3
Kyle Kuzma,WAS,20,2.4,10.4,0.72,1.7,0.6,2.1,29.3,34.1,8.5,4.3,8.5,0,34,24.5
Donovan Mitchell,CLE,16,1.9,7.3,1.06,2.1,0.8,1.7,44.4,51.9,9.7,3.2,9.7,0,48.4,73.6
Jalen Brunson,NYK,19,2.1,9.3,0.82,1.7,0.6,1.8,35.3,36.8,12.5,5,12.5,2.5,40,41.8
Russell Westbrook,LAC,20,2.1,14.4,0.81,1.7,0.7,1.7,41.2,42.6,7.3,12.2,7.3,2.4,39,37.3
Cade Cunningham,DET,21,2.2,8.6,0.72,1.6,0.6,1.7,36.1,44.4,2.2,19.6,2.2,0,30.4,23.6
Anthony Davis,LAL,20,1.1,5.1,1.29,1.4,0.5,0.9,55.6,58.3,14.3,0,14.3,0,61.9,94.5
Terry Rozier,CHA,10,2.8,12.2,0.96,2.7,1,2.5,40,44,10.7,3.6,10.7,3.6,42.9,60.9
Victor Wembanyama,SAS,19,1.3,6.2,1.04,1.4,0.5,1.2,40.9,45.5,12,0,8,0,48,67.3
D'Angelo Russell,LAL,21,1,5.9,1.25,1.2,0.5,0.8,58.8,70.6,5,10,0,0,55,91.8
Darius Garland,CLE,16,1.9,9.1,0.77,1.5,0.4,1.1,33.3,38.9,19.4,25.8,19.4,3.2,35.5,28.4
Shaedon Sharpe,POR,20,1.6,7.8,0.77,1.2,0.4,1.2,29.2,35.4,12.9,12.9,12.9,3.2,32.3,28.4
Desmond Bane,MEM,20,1.4,5.9,0.82,1.2,0.4,1.1,36.4,40.9,10.7,10.7,10.7,0,39.3,40.9
Jalen Williams,OKC,17,1.2,7.2,1.1,1.3,0.5,1,52.9,58.8,5,10,5,0,50,77.1
Caris LeVert,CLE,16,1.6,9.7,0.88,1.4,0.4,1.2,36.8,39.5,24,4,24,4,48,49.1
Tobias Harris,PHI,20,1.4,8.5,0.79,1.1,0.4,1.1,38.1,40.5,10.7,17.9,10.7,3.6,35.7,30.3
Bruce Brown,IND,18,0.9,7.7,1.31,1.2,0.5,0.7,69.2,73.1,6.3,12.5,6.3,0,62.5,96.4
Miles Bridges,CHA,9,2,11.2,1.17,2.3,0.7,1.6,42.9,46.4,27.8,5.6,27.8,11.1,50,85.5
Bennedict Mathurin,IND,18,1.1,8,1.1,1.2,0.4,1,44.4,47.2,15.8,0,10.5,10.5,47.4,79.1
Franz Wagner,ORL,21,1.2,6.2,0.81,1,0.4,1,40,42.5,11.5,15.4,11.5,3.8,38.5,38.2
Khris Middleton,MIL,16,1.3,10.3,1,1.3,0.6,1.2,47.4,52.6,0,5,0,0,45,65.4
Austin Reaves,LAL,21,1.1,7.8,0.87,1,0.4,0.9,44.4,47.2,13,13,13,4.3,43.5,47.3
LaMelo Ball,CHA,15,1.8,7.1,0.74,1.3,0.5,1.5,30.4,34.8,7.4,7.4,3.7,0,33.3,26.4
Immanuel Quickley,NYK,19,1.2,8.3,0.83,1,0.4,0.8,43.8,50,8.7,21.7,8.7,0,39.1,42.7
Dennis Schroder,TOR,21,1.3,7.9,0.67,0.9,0.3,1.1,29.2,29.2,11.1,3.7,11.1,3.7,33.3,18.2
Reggie Jackson,DEN,22,1.4,10.3,0.6,0.8,0.3,1.2,26.9,28.8,10,3.3,10,0,33.3,12.8
Tim Hardaway Jr.,DAL,18,0.6,3.6,1.7,0.9,0.4,0.4,87.5,106.3,0,20,0,0,70,100
Jaden Ivey,DET,17,0.6,5.8,1.54,1,0.2,0.4,57.1,57.1,54.5,0,45.5,18.2,72.7,99.1
Chet Holmgren,OKC,20,0.7,4.6,1.21,0.9,0.3,0.5,66.7,66.7,21.4,21.4,14.3,7.1,57.1,88.2
Alperen Sengun,HOU,18,0.9,4.3,1.06,0.9,0.4,0.7,53.8,53.8,12.5,6.3,6.3,0,56.3,72.7
Jrue Holiday,BOS,17,1.1,7.9,0.9,1,0.4,0.9,46.7,46.7,21.1,5.3,21.1,5.3,47.4,51.8
De'Andre Hunter,ATL,20,1,7.4,0.8,0.8,0.4,0.9,38.9,44.4,0,10,0,0,35,34
Lonnie Walker IV,BKN,17,0.6,5,1.36,0.9,0.2,0.5,44.4,66.7,18.2,0,18.2,0,54.5,97.3
Evan Mobley,CLE,21,0.9,5.6,0.83,0.7,0.2,0.6,41.7,41.7,27.8,5.6,27.8,0,50,43.6
Cole Anthony,ORL,21,0.9,5.9,0.79,0.7,0.3,0.7,40,40,10.5,15.8,5.3,5.3,36.8,31.8
Chris Paul,GSW,19,1.1,11.7,0.71,0.8,0.3,1.1,30,32.5,4.8,0,4.8,0,33.3,21.3
Aaron Gordon,DEN,18,1.3,9.5,0.63,0.8,0.2,0.7,33.3,37.5,29.2,20.8,29.2,0,33.3,15.5
Jordan Poole,WAS,19,1.4,7,0.58,0.8,0.3,0.9,33.3,38.9,3.8,30.8,3.8,3.8,23.1,10.9
Scottie Barnes,TOR,21,1.5,7.6,0.48,0.7,0.3,1,27.3,27.3,6.5,22.6,3.2,0,25.8,8.2
Zach Collins,SAS,20,0.5,3.3,1.4,0.7,0.3,0.4,75,75,20,10,20,10,70,98.2
Jalen Suggs,ORL,20,0.7,5.2,1.08,0.7,0.3,0.5,60,65,7.7,15.4,0,0,53.8,74.5
Rui Hachimura,LAL,12,1.2,10.9,1,1.2,0.3,0.9,36.4,36.4,21.4,0,14.3,0,50,65.4
Lauri Markkanen,UTA,15,1,4.9,0.93,0.9,0.3,0.9,30.8,42.3,13.3,0,13.3,0,40,55.5
Domantas Sabonis,SAC,18,0.6,3.1,1.3,0.7,0.3,0.4,75,75,20,10,20,10,70,95.5
Killian Hayes,DET,20,0.6,5.8,1.08,0.7,0.3,0.5,50,55,8.3,8.3,0,0,50,75.5
Jaime Jaquez Jr.,MIA,21,0.6,5.4,1,0.6,0.2,0.5,50,50,15.4,7.7,15.4,0,53.8,65.4
Malik Monk,SAC,18,0.8,5.8,0.87,0.7,0.2,0.6,30,40,20,20,20,6.7,33.3,46.4
Fred VanVleet,HOU,17,1,6,0.77,0.8,0.2,0.7,25,29.2,23.5,11.8,23.5,5.9,35.3,27.3
Talen Horton-Tucker,UTA,21,1,8.6,0.62,0.6,0.2,0.9,26.3,26.3,9.5,0,9.5,0,33.3,14.5
Devin Vassell,SAS,15,0.7,4.2,1.1,0.7,0.3,0.6,44.4,50,10,0,10,0,50,77.1
Andrew Wiggins,GSW,19,0.7,5,0.79,0.6,0.2,0.7,30.8,34.6,7.1,0,7.1,0,35.7,30.3
Jaden Hardy,DAL,17,0.9,13,0.69,0.6,0.2,0.6,27.3,31.8,18.8,18.8,18.8,6.3,31.3,19.1
Kyle Anderson,MIN,20,0.7,8.4,0.71,0.5,0.3,0.7,38.5,38.5,0,7.1,0,0,35.7,21.3
Coby White,CHI,22,0.6,4.2,0.71,0.5,0.1,0.5,27.3,31.8,14.3,7.1,14.3,0,35.7,21.3
