PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Kyle Kuzma,WAS,20,1.3,5.5,1.04,1.3,0.4,1,42.1,52.6,16,16,12,8,40,29.9
Andre Drummond,CHI,22,1.1,16.4,1.04,1.1,0.5,0.9,57.9,57.9,12.5,8.3,12.5,0,58.3,30.9
Precious Achiuwa,TOR,15,1.7,18.8,1,1.7,0.7,1.5,47.8,50,12,0,12,4,48,25
Bobby Portis,MIL,20,1.5,13.2,0.83,1.3,0.5,1.3,40,42,10,6.7,6.7,0,40,10.4
Jeff Green,HOU,17,0.9,18.2,1.5,1.4,0.5,0.6,72.7,72.7,31.3,6.3,31.3,6.3,75,92.6
Aaron Gordon,DEN,18,0.9,6.3,1.5,1.3,0.6,0.9,68.8,71.9,6.3,0,6.3,6.3,68.8,92.6
Danilo Gallinari,WAS,18,1.2,17.7,1.09,1.3,0.6,1.2,47.6,52.4,4.5,0,0,0,50,41.2
Duop Reath,POR,12,2.4,33,0.83,2,0.6,2.1,28,38,10.3,3.4,10.3,0,34.5,9.3
Charles Bassey,SAS,19,0.8,26.3,1.53,1.2,0.6,0.7,78.6,78.6,6.7,6.7,6.7,6.7,73.3,93.8
Kevon Looney,GSW,21,0.9,15,1.28,1.1,0.4,0.7,64.3,64.3,16.7,11.1,16.7,5.6,61.1,71.9
Jabari Walker,POR,20,1,12.9,1.15,1.2,0.5,0.8,56.3,56.3,25,5,25,10,60,48.5
Paolo Banchero,ORL,21,1,5,1.04,1.1,0.4,0.8,52.9,55.9,9.1,13.6,9.1,0,50,33
Bismack Biyombo,MEM,14,1.7,23.8,0.96,1.6,0.8,1.6,50,50,4.2,8.3,4.2,4.2,45.8,21.6
Luke Kornet,BOS,14,0.8,26.8,2,1.6,0.6,0.6,100,100,27.3,0,27.3,9.1,100,100
De'Andre Hunter,ATL,20,0.7,4.8,1.61,1.1,0.4,0.6,58.3,70.8,23.1,0,23.1,15.4,61.5,99
Max Strus,CLE,21,0.6,4.4,1.61,1,0.3,0.5,63.6,90.9,7.7,7.7,7.7,0,61.5,99
