PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Kevon Looney,GSW,21,2.1,36.7,1.32,2.8,1.1,1.6,69.7,69.7,20.5,9.1,20.5,4.5,68.2,50.6
Dereck Lively II,DAL,18,2.1,30.2,1.47,3.1,1.6,1.9,82.4,82.4,2.6,7.9,2.6,0,73.7,78.8
Brook Lopez,MIL,20,2,16.7,1.41,2.8,1.3,1.7,73.5,73.5,10.3,5.1,7.7,2.6,69.2,67.5
Onyeka Okongwu,ATL,20,1.8,23.5,1.49,2.6,1.1,1.5,70,70,20,2.9,20,8.6,71.4,80.6
Zach Collins,SAS,20,1.6,10.6,1.56,2.5,1,1.3,76.9,76.9,18.8,6.3,15.6,6.3,75,88.1
Goga Bitadze,ORL,19,1.8,29.7,1.43,2.6,1.1,1.5,71.4,71.4,25.7,5.7,22.9,11.4,71.4,70.1
Walker Kessler,UTA,14,2.7,30.6,1.32,3.6,1.6,2.1,75.9,75.9,21.1,13.2,18.4,10.5,68.4,50
Jimmy Butler,MIA,17,2,10.1,1.44,2.9,1.2,1.7,72.4,72.4,11.8,2.9,11.8,0,73.5,71.9
Clint Capela,ATL,20,1.9,18.9,1.32,2.5,1.1,1.6,68.8,68.8,16.2,2.7,16.2,5.4,67.6,52.5
Nikola Vucevic,CHI,22,1.9,10.8,1.2,2.2,0.9,1.5,58.8,58.8,12.2,4.9,12.2,0,61,31.9
Kevin Durant,PHX,18,1.4,5.2,1.77,2.6,1,1.1,90,90,26.9,0,26.9,3.8,92.3,96.9
Marvin Bagley III,DET,19,1.7,19.5,1.39,2.4,0.9,1.4,69.2,69.2,18.2,6.1,18.2,3,69.7,65
Drew Eubanks,PHX,19,1.8,28.6,1.35,2.4,1.1,1.5,71.4,71.4,11.8,8.8,11.8,2.9,67.6,57.3
Ausar Thompson,DET,21,1.6,13,1.35,2.2,1,1.3,78.6,78.6,2.9,14.7,2.9,0,67.6,57.3
Jalen Duren,DET,14,2.5,20.2,1.31,3.3,1.5,1.9,80.8,80.8,11.4,17.1,8.6,2.9,65.7,49.4
Chet Holmgren,OKC,20,1.3,8.3,1.8,2.3,1,1,100,100,12,8,12,0,92,98.7
Lauri Markkanen,UTA,15,1.7,8.1,1.8,3,1.1,1.3,89.5,89.5,24,0,24,0,92,98.7
Kristaps Porzingis,BOS,15,1.8,11.7,1.67,3,1.1,1.2,88.9,88.9,37,0,37,3.7,85.2,93.7
Victor Wembanyama,SAS,19,2,9.4,1.18,2.4,1.1,1.6,64.5,64.5,10.5,10.5,7.9,2.6,57.9,30
Andrew Wiggins,GSW,19,1.7,11.7,1.33,2.3,1.1,1.4,77.8,77.8,9.1,9.1,9.1,0,69.7,53.8
Bam Adebayo,MIA,16,2.7,12.5,1.02,2.8,1.2,2.4,48.7,48.7,7,2.3,7,0,51.2,12.5
Isaiah Stewart,DET,21,1.6,13.9,1.26,2,1,1.4,69,69,8.8,8.8,8.8,2.9,61.8,44.4
Pascal Siakam,TOR,21,1.4,6.9,1.4,2,0.9,1.3,66.7,66.7,13.3,3.3,13.3,6.7,66.7,66.5
Tobias Harris,PHI,20,1.5,8.8,1.38,2,0.9,1.2,70.8,70.8,13.8,6.9,13.8,3.4,69,62.5
Franz Wagner,ORL,21,1.5,7.6,1.25,1.9,0.9,1.4,65.5,65.5,3.1,6.3,3.1,0,62.5,42
Michael Porter Jr.,DEN,22,1.4,8.8,1.3,1.8,0.8,1.2,65.4,65.4,16.7,6.7,16.7,10,63.3,47.8
Myles Turner,IND,18,1.8,11.9,1.22,2.2,0.9,1.3,66.7,66.7,12.5,12.5,12.5,0,62.5,36.9
De'Andre Hunter,ATL,20,1.1,7.7,1.71,1.8,0.6,0.8,75,75,38.1,0,33.3,14.3,81,95.6
Alperen Sengun,HOU,18,1.7,8.1,1.2,2,0.8,1.4,57.7,57.7,20,3.3,20,10,60,33.3
Joel Embiid,PHI,17,2,6.6,1.06,2.1,0.7,1.4,50,50,20.6,11.8,17.6,2.9,52.9,13.1
Keldon Johnson,SAS,19,1.2,7.6,1.52,1.8,0.8,1.2,69.6,69.6,13,0,13,13,69.6,83.8
Mitchell Robinson,NYK,19,1.1,15.7,1.7,1.8,0.7,0.7,100,100,20,10,15,0,90,95
Jaime Jaquez Jr.,MIA,21,1.2,10.4,1.36,1.6,0.8,1,72.7,72.7,8,8,8,4,68,60
Draymond Green,GSW,13,1.9,18.4,1.32,2.5,1,1.5,68.4,68.4,20,8,20,4,68,51.9
