PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Jamal Murray,DEN,9,1.8,10.4,0.88,1.6,0.6,1.8,31.3,43.8,0,0,0,0,31.3,26.2
John Konchar,MEM,16,1.4,37.3,0.64,0.9,0.3,1.3,23.8,33.3,0,4.5,0,0,22.7,4.3
Kris Murray,POR,11,1,40.7,1.09,1.1,0.4,1,36.4,54.5,0,0,0,0,36.4,61.3
Marvin Bagley III,DET,19,0.7,8.3,0.86,0.6,0.2,0.6,27.3,31.8,21.4,7.1,21.4,7.1,35.7,21.7
Anthony Davis,LAL,20,1,4.9,0.6,0.6,0.2,0.9,23.5,29.4,10,5,5,0,30,2.3
Jaden Springer,PHI,11,1.4,28.3,0.73,1,0.4,1.4,26.7,36.7,0,0,0,0,26.7,10.6
Scoot Henderson,POR,11,2.7,19.2,0.37,1,0.4,2.5,14.8,20.4,0,10,0,0,13.3,0
Wesley Matthews,ATL,10,1,38.5,1,1,0.3,0.9,33.3,50,10,0,10,0,40,43.9
Drew Eubanks,PHX,19,0.7,10.9,0.77,0.5,0.2,0.6,33.3,41.7,0,7.7,0,0,30.8,14.5
Keon Ellis,SAC,11,1.4,37.5,0.67,0.9,0.3,1.1,25,33.3,13.3,6.7,6.7,0,26.7,6
Cory Joseph,GSW,10,1.8,54.5,0.56,1,0.4,1.6,25,31.3,0,11.1,0,0,22.2,2
Jordan Nwora,IND,5,2,23.8,0.9,1.8,0.6,1.6,37.5,43.8,20,10,20,10,40,28.8
P.J. Tucker,LAC,12,1,70.6,0.75,0.8,0.3,0.8,30,45,0,16.7,0,0,25,11.7
Vasilije Micic,OKC,8,1.5,32.4,0.75,1.1,0.4,0.9,42.9,64.3,0,41.7,0,0,25,11.7
Wendell Carter Jr.,ORL,5,2.4,19.7,0.75,1.8,0.6,2.2,27.3,40.9,0,8.3,0,0,25,11.7
Gabe Vincent,LAL,4,3.3,41.9,0.69,2.3,1,3,33.3,37.5,0,7.7,0,0,30.8,7.3
Joe Harris,DET,7,2.1,53.6,0.6,1.3,0.4,1.9,23.1,34.6,0,13.3,0,0,20,2.3
Ish Smith,CHA,13,0.8,21.2,0.64,0.5,0.2,0.6,37.5,43.8,0,27.3,0,0,27.3,4.3
Omer Yurtseven,UTA,15,0.7,13.3,0.6,0.4,0.1,0.7,20,30,0,0,0,0,20,2.3
Jalen Duren,DET,14,0.7,5.8,0.6,0.4,0.2,0.6,33.3,33.3,0,10,0,0,30,2.3
Markelle Fultz,ORL,5,2.2,17.2,0.55,1.2,0.4,2,20,20,9.1,0,9.1,0,27.3,1.3
Walker Kessler,UTA,14,0.8,8.9,0.55,0.4,0.1,0.7,20,30,0,9.1,0,0,18.2,1.3
Jake LaRavia,MEM,5,2.4,52.2,0.42,1,0.4,2.2,18.2,22.7,0,8.3,0,0,16.7,0.7
Kira Lewis Jr.,NOP,11,1.1,23.5,0.42,0.5,0.2,1,18.2,22.7,0,8.3,0,0,16.7,0.7
