,lineup,iso_c0,iso_c1,iso_c2,cut_c0,cut_c1,cut_c2,off_screen_c0,off_screen_c1,off_screen_c2,pnr_handler_c0,pnr_handler_c1,pnr_handler_c2,pnr_roller_c0,pnr_roller_c1,spot_up_c0,spot_up_c1,post_up_c0,post_up_c1,off_rating
31,"['Goga Bitadze', 'Franz Wagner', 'Jalen Suggs', 'Paolo Banchero', 'Anthony Black']",1,1,1,1,0,1,0,0,1,3,1,0,0,3,3,1,0,2,111.0
32,"['LeBron James', 'Anthony Davis', ""D'Angelo Russell"", 'Taurean Prince', 'Austin Reaves']",1,0,3,0,1,0,0,0,1,1,2,2,2,0,2,3,1,0,110.7
33,"['Isaiah Hartenstein', 'Josh Hart', 'Donte DiVincenzo', 'RJ Barrett', 'Immanuel Quickley']",0,2,0,0,0,0,0,0,0,1,1,1,0,1,3,1,0,0,110.6
34,"['DeMar DeRozan', 'Nikola Vucevic', 'Zach LaVine', 'Coby White', 'Patrick Williams']",2,1,0,1,0,0,2,0,0,2,2,0,1,0,2,3,1,0,110.1
35,"['Clint Capela', 'Dejounte Murray', 'Trae Young', 'Saddiq Bey', 'Jalen Johnson']",1,0,1,1,0,0,1,0,0,0,2,1,1,1,3,1,1,0,109.7
36,"['LeBron James', 'Anthony Davis', ""D'Angelo Russell"", 'Taurean Prince', 'Cam Reddish']",1,0,2,0,1,0,0,0,1,1,1,3,2,0,2,3,1,0,108.8
37,"['Stephen Curry', 'Klay Thompson', 'Draymond Green', 'Andrew Wiggins', 'Kevon Looney']",0,1,1,2,1,0,1,2,0,1,1,0,1,1,1,2,0,1,108.8
38,"['Jerami Grant', 'Malcolm Brogdon', 'Deandre Ayton', 'Shaedon Sharpe', 'Toumani Camara']",1,1,1,0,0,0,1,0,1,1,1,1,1,0,3,2,0,1,106.8
39,"['DeMar DeRozan', 'Nikola Vucevic', 'Zach LaVine', 'Alex Caruso', 'Coby White']",2,1,0,1,0,0,2,0,0,1,2,1,1,0,3,2,1,0,106.2
40,"['Spencer Dinwiddie', 'Mikal Bridges', 'Nic Claxton', 'Cameron Johnson', 'Cam Thomas']",3,0,0,0,0,0,2,0,0,0,3,1,1,0,4,0,0,0,103.3
41,"['Dennis Schroder', 'Jakob Poeltl', 'Pascal Siakam', 'O.G. Anunoby', 'Gary Trent Jr.']",0,2,1,1,1,0,2,0,0,1,1,1,1,0,2,1,0,1,100.4
42,"['Julius Randle', 'Josh Hart', 'Jalen Brunson', 'Mitchell Robinson', 'Quentin Grimes']",1,1,0,0,0,1,0,0,1,1,1,0,0,2,2,2,0,0,99.6
43,"['Tyus Jones', 'Kyle Kuzma', 'Daniel Gafford', 'Jordan Poole', 'Bilal Coulibaly']",0,2,0,0,1,0,1,0,1,1,2,1,1,1,3,1,1,0,93.3
