,GP_PnR_handler,POSS_PnR_handler,FREQ%_PnR_handler,PPP_PnR_handler,PTS_PnR_handler,FGM_PnR_handler,FGA_PnR_handler,FG%_PnR_handler,EFG%_PnR_handler,FT_PnR_handler,TOV_PnR_handler,SF_PnR_handler,AND ONE_PnR_handler,SCORE_PnR_handler,PERCENTILE_PnR_handler,LABEL,PLAYER,Constant
39,19.0,6.0,23.9,0.7,4.2,1.6,4.4,35.7,41.1,5.3,21.9,5.3,0.9,30.7,21.8,0,Jayson Tatum,
40,11.0,7.2,30.5,1.0,7.2,2.8,5.9,47.7,52.3,10.1,10.1,10.1,2.5,46.8,76.2,1,Cam Thomas,
41,21.0,4.3,21.7,0.87,3.8,1.4,3.3,42.9,44.3,14.3,13.2,14.3,4.4,42.9,50.5,1,Franz Wagner,
42,16.0,5.7,26.0,0.85,4.8,1.9,4.9,38.0,40.5,11,5.5,8.8,3.3,39.6,46.8,1,Kyrie Irving,
43,15.0,4.5,28.3,1.12,5.1,1.9,3.8,50.9,58.8,8.8,11.8,8.8,4.4,47.1,91.0,1,Devin Vassell,
44,20.0,3.8,18.7,1.01,3.8,1.5,3.0,49.2,57.6,5.3,16,4,0,44,78.2,2,Kawhi Leonard,
45,10.0,8.1,35.2,0.9,7.3,3.1,6.9,44.9,50.7,3.7,13.6,3.7,2.5,39.5,57.4,1,Terry Rozier,
46,19.0,5.1,33.7,0.76,3.8,1.3,3.8,32.9,37.0,15.6,14.6,15.6,6.3,33.3,29.8,1,Spencer Dinwiddie,
47,21.0,5.0,23.7,0.69,3.5,1.2,3.5,35.6,37.7,17.1,18.1,17.1,4.8,35.2,20.2,0,Paolo Banchero,
48,17.0,5.0,25.2,0.85,4.2,1.2,3.6,34.4,34.4,23.5,11.8,20,7.1,41.2,47.3,1,Jimmy Butler,
49,22.0,4.2,27.6,0.77,3.2,1.2,2.9,42.9,47.6,8.7,26.1,8.7,3.3,34.8,32.4,0,Coby White,
50,21.0,5.6,42.2,0.61,3.4,1.1,3.8,28.7,33.8,8.5,23.1,8.5,0,28.2,14.4,0,Keyonte George,
51,18.0,3.9,14.0,0.99,3.8,1.4,2.9,47.2,50.9,11.4,17.1,10,4.3,42.9,71.8,2,Kevin Durant,
52,20.0,4.1,17.8,0.84,3.4,1.4,2.8,50.0,53.6,9.9,22.2,8.6,1.2,42,46.3,2,LeBron James,
53,17.0,3.9,18.0,1.0,3.9,1.5,2.8,52.1,52.1,20.9,14.9,19.4,7.5,50.7,76.2,2,Zion Williamson,
54,20.0,4.2,28.1,0.8,3.4,1.6,3.3,47.7,47.7,4.8,20.2,4.8,2.4,39.3,37.2,1,Josh Giddey,
55,16.0,4.3,26.3,0.97,4.1,1.7,3.5,48.2,51.8,10.3,10.3,10.3,2.9,45.6,69.7,1,Caris LeVert,
56,20.0,4.3,18.9,0.77,3.3,1.3,3.5,36.2,38.4,11.6,11.6,11.6,3.5,37.2,30.9,0,Kyle Kuzma,
57,20.0,3.5,35.4,0.93,3.2,1.1,2.6,40.4,47.1,11.6,15.9,10.1,2.9,39.1,63.3,1,Mike Conley,
58,20.0,2.7,20.2,1.17,3.1,0.9,1.9,47.4,57.9,22.6,11.3,20.8,5.7,50.9,94.1,2,De'Anthony Melton,
59,8.0,9.1,40.3,0.85,7.8,3.3,7.8,41.9,46.0,4.1,11,2.7,0,39.7,47.9,1,Tyler Herro,
60,16.0,4.1,31.3,0.94,3.8,1.3,2.9,42.6,47.9,13.8,15.4,10.8,1.5,43.1,65.4,1,Derrick White,
61,18.0,4.6,31.7,0.74,3.4,1.1,3.1,36.4,40.9,12.2,22,12.2,1.2,35.4,27.7,0,Malik Monk,
62,12.0,4.2,57.5,1.18,4.9,2.2,3.4,65.9,65.9,6,12,6,0,60,94.7,1,T.J. McConnell,
63,9.0,6.1,35.7,1.04,6.3,2.3,5.1,45.7,56.5,5.5,12.7,1.8,1.8,41.8,80.9,1,Jamal Murray,
64,17.0,3.5,26.7,0.95,3.3,1.4,2.5,54.8,59.5,10.2,22,10.2,3.4,45.8,67.6,2,Lonnie Walker IV,
65,21.0,3.0,39.8,0.88,2.7,1.1,2.6,41.8,48.2,3.1,12.5,3.1,1.6,37.5,52.1,1,Marcus Sasser,
66,19.0,3.1,19.3,0.91,2.8,1.1,2.3,45.5,50.0,10.3,17.2,8.6,3.4,41.4,59.6,2,Keldon Johnson,
67,19.0,3.8,40.6,0.73,2.8,1.1,3.1,35.6,37.3,6.8,13.7,6.8,1.4,34.2,24.5,0,Chris Paul,
68,18.0,4.1,25.3,0.71,2.9,1.1,2.9,38.5,39.4,9.6,19.2,9.6,0,35.6,23.4,0,Gordon Hayward,
69,20.0,3.3,31.3,0.79,2.6,1.1,2.6,42.3,43.3,10.8,13.8,7.7,4.6,38.5,35.1,0,Killian Hayes,
70,21.0,2.8,14.2,0.86,2.4,1.0,2.3,42.9,44.9,8.6,10.3,8.6,3.4,41.4,48.9,2,Scottie Barnes,
71,18.0,3.4,15.0,0.8,2.7,1.0,2.5,40.0,43.3,9.8,16.4,8.2,0,37.7,38.3,0,Jaylen Brown,
72,8.0,5.6,28.0,1.07,6.0,2.3,4.6,48.6,54.1,13.3,6.7,11.1,2.2,48.9,85.1,1,CJ McCollum,
73,14.0,4.1,46.4,0.83,3.4,1.4,3.6,40.0,41.0,6.9,8.6,5.2,1.7,39.7,43.6,1,Skylar Mays,
74,14.0,3.8,19.9,0.87,3.3,1.4,2.9,47.5,48.8,9.4,18.9,9.4,3.8,41.5,50.0,2,RJ Barrett,
75,15.0,4.0,45.5,0.75,3.0,1.5,3.5,42.3,42.3,1.7,11.7,1.7,0,38.3,28.3,1,Andrew Wiggins,
76,19.0,2.2,16.9,1.07,2.3,0.8,1.9,43.2,54.1,4.9,4.9,4.9,0,43.9,86.7,2,Duncan Robinson,
77,20.0,2.1,14.6,1.05,2.2,0.8,1.5,53.3,65.0,7.1,23.8,4.8,2.4,42.9,81.9,2,Bogdan Bogdanovic,
78,20.0,2.4,27.2,0.94,2.2,0.7,1.7,41.2,50.0,10.6,17,6.4,0,40.4,64.9,2,Kyle Lowry,
79,11.0,4.5,32.1,0.88,4.0,1.7,3.4,51.4,55.4,6,22,4,2,42,52.7,1,Scoot Henderson,
80,18.0,2.3,17.7,1.0,2.3,0.9,1.9,50.0,55.9,9.5,11.9,9.5,2.4,45.2,76.2,2,Bennedict Mathurin,
81,19.0,2.5,11.5,0.89,2.2,0.9,1.8,48.6,48.6,8.5,17,6.4,0,44.7,55.9,2,Jerami Grant,
