,GP_off_screen,POSS_off_screen,FREQ%_off_screen,PPP_off_screen,PTS_off_screen,FGM_off_screen,FGA_off_screen,FG%_off_screen,EFG%_off_screen,FT_off_screen,TOV_off_screen,SF_off_screen,AND ONE_off_screen,SCORE_off_screen,PERCENTILE_off_screen,LABEL,PLAYER,Constant
1,19.0,4.2,16.8,1.44,6.1,2.1,3.8,54.8,76.0,5,7.5,5,3.8,51.2,94.9,1,Stephen Curry,
2,20.0,5.4,33.2,1.06,5.8,2.0,4.7,43.0,54.8,6.5,9.3,6.5,1.9,41.7,57.0,1,Klay Thompson,
3,20.0,2.4,10.5,1.06,2.5,0.9,2.2,40.9,52.3,4.3,4.3,4.3,2.1,40.4,55.7,1,Paul George,
4,18.0,2.2,9.4,1.21,2.6,1.2,1.9,60.0,61.4,5.1,5.1,2.6,0,59,78.5,1,Brandon Ingram,
5,15.0,3.5,16.9,0.85,2.9,1.1,3.1,36.2,43.6,3.8,7.7,3.8,1.9,34.6,27.8,1,Lauri Markkanen,
6,18.0,2.3,8.2,1.05,2.4,0.8,2.0,41.7,48.6,9.8,2.4,7.3,0,46.3,53.2,1,Kevin Durant,
7,21.0,1.5,5.7,1.29,1.9,0.8,1.3,59.3,64.8,19.4,3.2,16.1,9.7,58.1,86.1,2,Nikola Jokic,
8,22.0,2.0,12.9,0.91,1.8,0.8,1.9,41.5,48.8,0,6.8,0,0,38.6,32.9,1,Michael Porter Jr.,
9,19.0,1.9,19.0,1.08,2.1,0.6,1.7,37.5,51.6,8.3,2.8,8.3,0,41.7,62.3,1,Corey Kispert,
10,20.0,1.7,11.8,1.03,1.8,0.7,1.6,43.8,53.1,2.9,5.9,2.9,2.9,41.2,48.1,1,Bogdan Bogdanovic,
11,20.0,1.3,6.4,1.31,1.7,0.6,1.2,47.8,65.2,7.7,3.8,7.7,0,50,88.6,2,Karl-Anthony Towns,
12,19.0,2.3,11.9,0.77,1.8,0.7,1.8,37.1,44.3,4.5,18.2,4.5,2.3,31.8,17.7,0,Jordan Poole,
13,21.0,1.1,9.3,1.38,1.6,0.5,1.1,47.8,67.4,8.3,0,8.3,4.2,50,91.1,2,Jordan Hawkins,
14,19.0,2.3,10.5,0.77,1.7,0.5,1.8,29.4,36.8,14,11.6,14,4.7,32.6,16.5,0,Jerami Grant,
15,18.0,1.2,4.8,1.46,1.8,0.6,0.9,62.5,71.9,22.7,9.1,22.7,4.5,63.6,96.2,2,Anthony Edwards,
16,21.0,1.8,12.8,0.82,1.5,0.5,1.6,33.3,47.0,0,13.2,0,0,28.9,20.3,0,Max Strus,
17,18.0,1.2,20.4,1.43,1.7,0.6,1.0,55.6,75.0,9.5,4.8,9.5,0,57.1,93.6,1,Doug McDermott,
18,20.0,1.4,6.8,1.11,1.5,0.5,1.2,41.7,50.0,11.1,0,11.1,0,48.1,65.8,2,Shaedon Sharpe,
19,18.0,1.6,9.7,1.04,1.6,0.6,1.4,44.0,46.0,14.3,0,14.3,3.6,50,49.4,2,Gordon Hayward,
20,20.0,2.0,8.2,0.74,1.5,0.5,1.6,31.3,40.6,2.6,15.4,2.6,0,28.2,15.2,0,Desmond Bane,
21,18.0,1.4,9.5,1.08,1.6,0.6,1.3,41.7,54.2,3.8,3.8,3.8,0,42.3,59.5,1,Tim Hardaway Jr.,
22,20.0,1.7,8.5,0.82,1.4,0.6,1.6,37.5,39.1,5.9,2.9,5.9,2.9,38.2,23.1,0,Kawhi Leonard,
23,18.0,1.3,10.5,1.13,1.5,0.5,1.1,45.0,60.0,4.2,12.5,4.2,0,41.7,67.9,1,Buddy Hield,
24,19.0,1.1,15.3,1.24,1.4,0.5,0.9,55.6,72.2,0,14.3,0,0,47.6,81.0,1,Simone Fontecchio,
25,18.0,1.2,5.4,1.18,1.4,0.6,1.1,50.0,62.5,4.5,4.5,4.5,0,50,74.7,2,Jaylen Brown,
26,19.0,1.2,9.1,1.14,1.3,0.5,1.1,50.0,62.5,0,9.1,0,0,45.5,69.6,1,Duncan Robinson,
27,20.0,1.2,5.1,1.04,1.2,0.5,1.0,45.0,50.0,8.7,4.3,8.7,0,47.8,50.6,2,Kyle Kuzma,
28,19.0,0.7,9.3,1.64,1.2,0.4,0.6,58.3,87.5,7.1,7.1,7.1,0,57.1,100.0,2,Sam Hauser,
29,20.0,0.9,4.0,1.28,1.2,0.5,0.9,52.9,67.6,0,5.6,0,0,50,84.8,2,LeBron James,
30,16.0,1.4,6.3,1.04,1.4,0.6,1.4,40.9,50.0,4.5,0,4.5,4.5,40.9,51.9,1,Kyrie Irving,
31,15.0,1.5,19.6,1.0,1.5,0.5,1.5,36.4,47.7,4.5,0,4.5,4.5,36.4,42.5,1,Landry Shamet,
32,10.0,2.1,9.1,1.0,2.1,0.9,2.0,45.0,52.5,0,4.8,0,0,42.9,42.5,1,Terry Rozier,
33,18.0,0.8,5.9,1.43,1.1,0.4,0.8,57.1,71.4,0,0,0,0,57.1,93.6,2,Dillon Brooks,
34,21.0,1.0,4.8,1.0,1.0,0.4,0.9,44.4,44.4,10,0,10,0,50,42.5,2,Franz Wagner,
35,20.0,0.8,3.9,1.13,0.9,0.3,0.8,40.0,53.3,6.3,0,6.3,0,43.8,67.9,2,Jaren Jackson Jr.,
36,20.0,0.9,5.6,1.06,0.9,0.3,0.6,50.0,66.7,11.8,23.5,11.8,5.9,41.2,54.4,2,Chet Holmgren,
37,16.0,1.2,17.0,0.95,1.1,0.4,1.0,37.5,40.6,15.8,0,5.3,0,47.4,38.0,1,Gary Harris,
38,20.0,1.1,4.8,0.86,0.9,0.3,0.8,37.5,40.6,9.5,14.3,4.8,0,38.1,29.1,0,Mikal Bridges,
39,18.0,1.3,11.2,0.78,1.0,0.3,1.0,33.3,44.4,8.7,13,8.7,0,34.8,19.0,0,Gary Trent Jr.,
40,17.0,1.6,8.2,0.64,1.1,0.4,1.4,26.1,30.4,7.1,10.7,3.6,0,28.6,6.3,0,Jordan Clarkson,
41,18.0,0.9,4.8,1.0,0.9,0.4,0.8,50.0,57.1,5.9,11.8,0,0,47.1,42.5,2,Jalen Green,
42,14.0,1.3,12.9,0.94,1.2,0.4,1.1,31.3,46.9,5.6,5.6,0,0,33.3,36.7,0,Alec Burks,
43,19.0,0.6,3.0,1.33,0.8,0.3,0.5,60.0,65.0,16.7,8.3,16.7,8.3,58.3,89.9,2,Victor Wembanyama,
44,21.0,0.6,4.7,1.23,0.8,0.2,0.4,44.4,55.6,30.8,7.7,30.8,7.7,53.8,79.7,2,Keyonte George,
45,20.0,0.7,5.3,1.14,0.8,0.3,0.7,42.9,57.1,0,0,0,0,42.9,71.8,2,De'Anthony Melton,
46,21.0,0.7,2.6,1.14,0.8,0.3,0.7,42.9,57.1,0,0,0,0,42.9,71.8,2,Cade Cunningham,
47,11.0,1.4,5.4,1.07,1.5,0.7,1.2,61.5,61.5,0,13.3,0,0,53.3,58.2,1,Devin Booker,
48,21.0,0.9,6.8,0.89,0.8,0.2,0.6,33.3,41.7,16.7,16.7,5.6,0,38.9,30.8,0,Collin Sexton,
49,20.0,0.9,4.3,0.89,0.8,0.3,0.8,40.0,40.0,11.1,5.6,11.1,0,44.4,30.8,0,DeMar DeRozan,
50,21.0,0.5,3.1,1.5,0.7,0.2,0.4,55.6,72.2,10,0,10,0,60,98.7,2,Cole Anthony,
51,17.0,0.6,3.0,1.5,0.9,0.4,0.5,75.0,81.3,10,10,10,0,70,98.7,2,Jimmy Butler,
52,8.0,1.4,6.1,1.27,1.8,0.6,1.3,50.0,70.0,0,9.1,0,0,45.5,83.3,1,Tyler Herro,
53,20.0,0.6,5.1,1.27,0.7,0.2,0.5,44.4,50.0,18.2,0,18.2,0,54.5,83.3,2,Norman Powell,
54,20.0,0.6,7.3,1.17,0.7,0.2,0.6,36.4,50.0,16.7,0,16.7,8.3,41.7,73.4,2,Isaiah Joe,
55,18.0,0.8,3.8,1.0,0.8,0.3,0.7,38.5,50.0,7.1,7.1,7.1,7.1,35.7,42.5,0,Zach LaVine,
56,21.0,0.8,10.3,0.82,0.7,0.2,0.7,35.7,42.9,5.9,11.8,5.9,0,35.3,23.1,0,Moses Moody,
57,19.0,0.5,1.8,1.3,0.7,0.2,0.4,37.5,56.3,20,0,10,0,50,87.3,2,Luka Doncic,
58,21.0,0.6,2.9,1.08,0.6,0.2,0.5,36.4,40.9,25,0,25,16.7,41.7,62.3,2,Scottie Barnes,
59,19.0,0.6,2.7,1.08,0.7,0.3,0.6,41.7,54.2,0,0,0,0,41.7,62.3,2,Julius Randle,
60,19.0,0.9,18.2,0.72,0.7,0.3,0.9,29.4,38.2,0,5.6,0,0,27.8,11.5,0,Julian Strawther,
61,19.0,0.9,6.4,0.72,0.7,0.3,0.8,33.3,40.0,11.1,5.6,11.1,0,33.3,11.5,0,Andrew Wiggins,
62,20.0,0.5,4.4,1.2,0.6,0.3,0.5,55.6,66.7,0,10,0,0,50,76.9,2,Naz Reid,
63,19.0,0.5,2.1,1.2,0.6,0.2,0.5,44.4,55.6,10,0,10,0,50,76.9,2,Jayson Tatum,
64,17.0,0.7,5.9,1.0,0.7,0.2,0.6,40.0,60.0,0,16.7,0,0,33.3,42.5,0,Kevin Huerter,
65,17.0,0.8,5.3,0.92,0.7,0.3,0.8,38.5,46.2,0,0,0,0,38.5,35.4,0,Brandon Miller,
66,20.0,0.5,3.7,1.1,0.6,0.2,0.4,50.0,62.5,10,10,10,0,50,64.6,2,De'Andre Hunter,
