,GP_PnR_roller,POSS_PnR_roller,FREQ%_PnR_roller,PPP_PnR_roller,PTS_PnR_roller,FGM_PnR_roller,FGA_PnR_roller,FG%_PnR_roller,EFG%_PnR_roller,FT_PnR_roller,TOV_PnR_roller,SF_PnR_roller,AND ONE_PnR_roller,SCORE_PnR_roller,PERCENTILE_PnR_roller,LABEL,PLAYER,Constant
85,14.0,0.8,18.6,1.18,0.9,0.4,0.8,54.5,59.1,0,0,0,0,54.5,53.6,1,Larry Nance Jr.,
86,15.0,1.0,21.4,0.87,0.9,0.3,1.0,33.3,43.3,0,0,0,0,33.3,13.4,1,Jaylin Williams,
87,13.0,0.8,7.4,1.2,0.9,0.4,0.7,55.6,61.1,10,10,10,10,50,60.9,1,Draymond Green,
88,19.0,0.5,6.3,1.2,0.6,0.2,0.5,44.4,66.7,0,10,0,0,40,60.9,1,Royce O'Neale,
89,15.0,0.9,17.3,0.92,0.8,0.4,0.9,46.2,46.2,0,0,0,0,46.2,19.6,1,Omer Yurtseven,
90,18.0,0.7,21.4,0.92,0.6,0.2,0.4,57.1,57.1,16.7,25,8.3,0,50,17.7,1,Jaxson Hayes,
91,19.0,0.6,6.7,0.92,0.6,0.2,0.6,33.3,45.8,8.3,0,8.3,8.3,33.3,17.7,1,Grant Williams,
92,13.0,1.0,17.6,0.85,0.8,0.4,0.8,45.5,45.5,7.7,7.7,7.7,0,46.2,12.4,1,Thomas Bryant,
93,5.0,2.8,23.0,0.79,2.2,0.6,1.8,33.3,38.9,21.4,14.3,21.4,0,42.9,5.2,1,Wendell Carter Jr.,
94,20.0,0.6,4.8,0.82,0.5,0.2,0.6,36.4,40.9,0,0,0,0,36.4,8.2,1,Deni Avdija,
95,18.0,0.6,5.0,0.73,0.4,0.2,0.6,27.3,36.4,0,0,0,0,27.3,3.1,1,Jabari Smith Jr.,
96,18.0,0.6,4.0,0.73,0.4,0.2,0.6,27.3,31.8,9.1,0,9.1,9.1,27.3,3.1,1,Tim Hardaway Jr.,
97,20.0,0.5,4.0,0.6,0.3,0.1,0.3,33.3,33.3,20,30,20,10,30,1.0,1,Jalen Suggs,
98,10.0,1.4,14.9,0.43,0.6,0.3,1.2,25.0,25.0,7.1,7.1,7.1,0,21.4,0.0,1,Xavier Tillman,
