,GP_post_up,POSS_post_up,FREQ%_post_up,PPP_post_up,PTS_post_up,FGM_post_up,FGA_post_up,FG%_post_up,EFG%_post_up,FT_post_up,TOV_post_up,SF_post_up,AND ONE_post_up,SCORE_post_up,PERCENTILE_post_up,LABEL,PLAYER,Constant
42,18.0,1.4,6.2,0.96,1.3,0.5,0.9,56.3,56.3,12,24,8,0,48,50.0,1,Jaylen Brown,
43,18.0,1.2,8.8,1.09,1.3,0.4,0.7,53.8,53.8,33.3,9.5,33.3,4.8,61.9,73.6,0,Dillon Brooks,
44,22.0,1.0,15.8,0.96,1.0,0.4,0.8,44.4,44.4,17.4,4.3,17.4,0,52.2,48.6,1,Andre Drummond,
45,17.0,1.2,8.4,1.0,1.2,0.5,0.8,57.1,57.1,10,20,10,0,50,55.7,1,Jrue Holiday,
46,21.0,1.3,11.1,0.74,1.0,0.4,0.9,44.4,44.4,14.8,22.2,14.8,3.7,40.7,11.1,1,Isaiah Stewart,
47,19.0,0.9,10.7,1.06,1.0,0.3,0.6,50.0,50.0,27.8,16.7,22.2,11.1,50,62.5,0,Marvin Bagley III,
48,20.0,1.1,9.3,0.91,1.0,0.4,0.9,44.4,44.4,9.5,4.8,9.5,0,47.6,40.8,1,Naz Reid,
49,20.0,0.8,5.9,1.13,0.9,0.4,0.7,57.1,57.1,18.8,12.5,18.8,18.8,50,77.5,0,De'Andre Hunter,
50,21.0,0.8,7.1,1.06,0.9,0.3,0.6,58.3,58.3,17.6,17.6,5.9,5.9,52.9,65.3,0,Jaime Jaquez Jr.,
51,21.0,0.9,6.5,0.95,0.9,0.3,0.8,43.8,43.8,10.5,5.3,5.3,0,47.4,47.2,1,John Collins,
52,19.0,1.2,5.4,0.82,0.9,0.4,0.9,41.2,41.2,18.2,13.6,18.2,9.1,40.9,21.1,1,Jerami Grant,
53,11.0,1.0,3.9,1.54,1.5,0.5,0.7,75.0,75.0,27.3,9.1,18.2,9.1,72.7,98.6,0,Devin Booker,
54,18.0,0.8,6.9,1.07,0.9,0.4,0.6,63.6,63.6,13.3,13.3,13.3,0,60,66.7,0,Jabari Smith Jr.,
55,20.0,1.1,8.2,0.73,0.8,0.3,1.0,31.6,31.6,13.6,0,9.1,0,40.9,8.5,1,Jeremy Sochan,
56,18.0,0.9,5.9,0.88,0.8,0.3,0.7,46.2,46.2,11.8,11.8,11.8,0,47.1,34.7,1,Gordon Hayward,
