,GP_spot_up,POSS_spot_up,FREQ%_spot_up,PPP_spot_up,PTS_spot_up,FGM_spot_up,FGA_spot_up,FG%_spot_up,EFG%_spot_up,FT_spot_up,TOV_spot_up,SF_spot_up,AND ONE_spot_up,SCORE_spot_up,PERCENTILE_spot_up,LABEL,PLAYER,Constant
147,11.0,4.0,26.5,1.23,4.9,1.6,3.7,43.9,59.8,6.8,0,2.3,0,47.7,81.8,0,Marcus Smart,
148,17.0,2.2,11.3,1.4,3.1,1.1,2.1,51.4,67.1,10.5,0,10.5,2.6,55.3,94.7,0,Jimmy Butler,
149,19.0,2.8,11.0,1.0,2.8,1.1,2.4,45.7,48.9,7.5,5.7,5.7,0,47.2,43.9,0,Shai Gilgeous-Alexander,
150,18.0,3.1,33.1,0.96,2.9,1.1,2.9,35.8,50.0,0,3.6,0,0,34.5,37.3,1,Ziaire Williams,
151,21.0,2.8,10.6,0.91,2.5,1.0,2.5,37.7,47.2,3.4,6.9,3.4,1.7,36.2,30.4,1,Nikola Jokic,
152,21.0,1.7,34.6,1.44,2.5,0.9,1.6,52.9,73.5,2.8,2.8,2.8,0,52.8,96.4,0,Joe Ingles,
153,19.0,2.1,22.2,1.3,2.7,0.9,1.9,48.6,68.9,2.5,7.5,2.5,2.5,45,89.8,0,Chris Paul,
154,11.0,3.7,45.6,1.27,4.7,1.9,3.5,55.3,67.1,4.9,7.3,4.9,4.9,51.2,85.8,0,Jaden McDaniels,
155,17.0,2.6,8.7,1.16,3.1,1.1,2.1,51.4,61.4,11.1,11.1,8.9,0,51.1,70.6,0,Joel Embiid,
156,21.0,3.2,41.1,0.78,2.5,0.9,2.5,34.0,44.3,6,16.4,6,1.5,31.3,14.9,1,Christian Wood,
157,18.0,2.8,13.8,1.0,2.8,1.1,2.4,43.2,53.4,3.9,9.8,3.9,0,41.2,43.9,1,Zach LaVine,
158,22.0,2.5,42.0,0.93,2.3,0.9,2.4,35.8,48.1,1.8,3.6,1.8,1.8,34.5,31.0,1,Jevon Carter,
159,16.0,2.8,12.4,1.14,3.1,1.1,2.5,45.0,56.3,9.1,2.3,4.5,2.3,47.7,66.3,0,Tyrese Haliburton,
