,GP_spot_up,POSS_spot_up,FREQ%_spot_up,PPP_spot_up,PTS_spot_up,FGM_spot_up,FGA_spot_up,FG%_spot_up,EFG%_spot_up,FT_spot_up,TOV_spot_up,SF_spot_up,AND ONE_spot_up,SCORE_spot_up,PERCENTILE_spot_up,LABEL,PLAYER,Constant
291,10.0,1.8,54.5,0.56,1.0,0.4,1.6,25.0,31.3,0,11.1,0,0,22.2,2.0,1,Cory Joseph,
292,5.0,2.0,23.8,0.9,1.8,0.6,1.6,37.5,43.8,20,10,20,10,40,28.8,1,Jordan Nwora,
293,12.0,1.0,70.6,0.75,0.8,0.3,0.8,30.0,45.0,0,16.7,0,0,25,11.7,1,P.J. Tucker,
294,8.0,1.5,32.4,0.75,1.1,0.4,0.9,42.9,64.3,0,41.7,0,0,25,11.7,1,Vasilije Micic,
295,5.0,2.4,19.7,0.75,1.8,0.6,2.2,27.3,40.9,0,8.3,0,0,25,11.7,1,Wendell Carter Jr.,
296,4.0,3.3,41.9,0.69,2.3,1.0,3.0,33.3,37.5,0,7.7,0,0,30.8,7.3,1,Gabe Vincent,
297,7.0,2.1,53.6,0.6,1.3,0.4,1.9,23.1,34.6,0,13.3,0,0,20,2.3,1,Joe Harris,
298,13.0,0.8,21.2,0.64,0.5,0.2,0.6,37.5,43.8,0,27.3,0,0,27.3,4.3,1,Ish Smith,
299,15.0,0.7,13.3,0.6,0.4,0.1,0.7,20.0,30.0,0,0,0,0,20,2.3,1,Omer Yurtseven,
300,14.0,0.7,5.8,0.6,0.4,0.2,0.6,33.3,33.3,0,10,0,0,30,2.3,1,Jalen Duren,
301,5.0,2.2,17.2,0.55,1.2,0.4,2.0,20.0,20.0,9.1,0,9.1,0,27.3,1.3,1,Markelle Fultz,
302,14.0,0.8,8.9,0.55,0.4,0.1,0.7,20.0,30.0,0,9.1,0,0,18.2,1.3,1,Walker Kessler,
303,5.0,2.4,52.2,0.42,1.0,0.4,2.2,18.2,22.7,0,8.3,0,0,16.7,0.7,1,Jake LaRavia,
304,11.0,1.1,23.5,0.42,0.5,0.2,1.0,18.2,22.7,0,8.3,0,0,16.7,0.7,1,Kira Lewis Jr.,
