,GP_cut,POSS_cut,FREQ%_cut,PPP_cut,PTS_cut,FGM_cut,FGA_cut,FG%_cut,EFG%_cut,FT_cut,TOV_cut,SF_cut,AND ONE_cut,SCORE_cut,PERCENTILE_cut,LABEL,PLAYER,Constant
35,19.0,2.0,9.4,1.18,2.4,1.1,1.6,64.5,64.5,10.5,10.5,7.9,2.6,57.9,30.0,0,Victor Wembanyama,
36,19.0,1.7,11.7,1.33,2.3,1.1,1.4,77.8,77.8,9.1,9.1,9.1,0,69.7,53.8,0,Andrew Wiggins,
37,16.0,2.7,12.5,1.02,2.8,1.2,2.4,48.7,48.7,7,2.3,7,0,51.2,12.5,0,Bam Adebayo,
38,21.0,1.6,13.9,1.26,2.0,1.0,1.4,69.0,69.0,8.8,8.8,8.8,2.9,61.8,44.4,0,Isaiah Stewart,
39,21.0,1.4,6.9,1.4,2.0,0.9,1.3,66.7,66.7,13.3,3.3,13.3,6.7,66.7,66.5,0,Pascal Siakam,
40,20.0,1.5,8.8,1.38,2.0,0.9,1.2,70.8,70.8,13.8,6.9,13.8,3.4,69,62.5,0,Tobias Harris,
41,21.0,1.5,7.6,1.25,1.9,0.9,1.4,65.5,65.5,3.1,6.3,3.1,0,62.5,42.0,0,Franz Wagner,
42,22.0,1.4,8.8,1.3,1.8,0.8,1.2,65.4,65.4,16.7,6.7,16.7,10,63.3,47.8,0,Michael Porter Jr.,
43,18.0,1.8,11.9,1.22,2.2,0.9,1.3,66.7,66.7,12.5,12.5,12.5,0,62.5,36.9,0,Myles Turner,
44,20.0,1.1,7.7,1.71,1.8,0.6,0.8,75.0,75.0,38.1,0,33.3,14.3,81,95.6,2,De'Andre Hunter,
45,18.0,1.7,8.1,1.2,2.0,0.8,1.4,57.7,57.7,20,3.3,20,10,60,33.3,0,Alperen Sengun,
46,17.0,2.0,6.6,1.06,2.1,0.7,1.4,50.0,50.0,20.6,11.8,17.6,2.9,52.9,13.1,0,Joel Embiid,
47,19.0,1.2,7.6,1.52,1.8,0.8,1.2,69.6,69.6,13,0,13,13,69.6,83.8,2,Keldon Johnson,
48,19.0,1.1,15.7,1.7,1.8,0.7,0.7,100.0,100.0,20,10,15,0,90,95.0,2,Mitchell Robinson,
49,21.0,1.2,10.4,1.36,1.6,0.8,1.0,72.7,72.7,8,8,8,4,68,60.0,0,Jaime Jaquez Jr.,
50,13.0,1.9,18.4,1.32,2.5,1.0,1.5,68.4,68.4,20,8,20,4,68,51.9,0,Draymond Green,
